Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
673,Glenn Sutko,23,CIN,NL,-0.1,10,12,10,0,1,0,0,0,1,0,0,2,6,.100,.250,.100,.350,1,.194,-2,1,0,0,0,0,0,/2H,,sutkogl01
674,Troy Afenir,27,OAK,AL,-0.2,5,11,11,0,1,0,0,0,0,0,0,0,2,.091,.091,.091,.182,-48,.083,-70,1,1,0,0,0,0,/2DH,,afenitr01
675,Stan Belinda,24,PIT,NL,0.0,60,11,7,0,0,0,0,0,1,0,0,2,5,.000,.222,.000,.222,-31,.157,-52,0,1,0,2,0,0,1,,belinst01
676,Chuck Carr#,23,NYM,NL,-0.3,12,11,11,1,2,0,0,0,1,1,0,0,2,.182,.182,.182,.364,3,.190,-18,2,0,0,0,0,0,/8H,,carrch02
677,Dave Clark*,28,KCR,AL,-0.1,11,11,10,1,2,0,0,0,1,0,0,1,1,.200,.273,.200,.473,34,.231,27,2,0,0,0,0,0,H/9D,,clarkda05
678,Doug Jennings*,26,OAK,AL,-0.2,8,11,9,0,1,0,0,0,0,0,1,2,2,.111,.273,.111,.384,14,.166,21,1,1,0,0,0,0,/7H,,jennido01
679,Pat Lennon,23,SEA,AL,0.0,9,11,8,2,1,1,0,0,1,0,0,3,1,.125,.364,.250,.614,74,.313,85,2,0,0,0,0,0,/HD7,,lennopa01
680,Tim McIntosh,26,MIL,AL,0.1,7,11,11,2,4,1,0,1,1,0,0,0,4,.364,.364,.727,1.091,197,.473,199,8,0,0,0,0,0,/7DH3,,mcintti01
681,Kent Mercker*,23,ATL,NL,0.0,50,11,10,0,1,0,0,0,2,0,0,1,7,.100,.182,.100,.282,-20,.147,-39,1,0,0,0,0,0,1,,merckke01
682,Eric Nolte*,27,SDP,NL,0.1,6,11,9,2,1,0,0,0,0,0,0,0,6,.111,.111,.111,.222,-38,.205,-15,1,0,0,2,0,0,/1,,nolteer01
683,Jim Olander,28,MIL,AL,-0.1,12,11,9,2,0,0,0,0,0,0,0,2,5,.000,.182,.000,.182,-44,.131,-42,0,0,0,0,0,0,/8HD79,,olandji01
684,Doug Strange#,27,CHC,NL,0.0,3,11,9,0,4,1,0,0,1,1,0,0,1,.444,.455,.556,1.010,179,.459,171,5,0,1,0,1,0,/5,,strando01
685,Jeff Tackett,25,BAL,AL,-0.1,6,11,8,1,1,0,0,0,0,0,0,2,2,.125,.300,.125,.425,25,.235,27,1,0,0,1,0,0,/2,,tackeje01
686,Cliff Brantley,23,PHI,NL,-0.1,6,10,8,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-195,0,0,0,2,0,0,/1,,brantcl01
687,Kevin Flora,22,CAL,AL,-0.2,3,10,8,1,1,0,0,0,0,1,0,1,5,.125,.222,.125,.347,0,.209,-20,1,1,0,1,0,0,/4,,florake01
688,Wayne Housie#,26,BOS,AL,-0.1,11,10,8,2,2,1,0,0,0,1,0,1,3,.250,.333,.375,.708,92,.352,86,3,1,0,1,0,0,/H8D,,housiwa01
689,Mike LaCoss,35,SFG,NL,0.1,18,10,9,2,2,0,0,0,0,0,0,1,6,.222,.300,.222,.522,52,.253,48,2,0,0,0,0,0,1,,lacosmi01
690,Chuck McElroy*,23,CHC,NL,0.1,71,10,10,1,3,1,0,0,2,0,1,0,3,.300,.300,.400,.700,93,.262,83,4,0,0,0,0,0,1/H,ROY-5,mcelrch01
691,Francisco Oliveras,28,SFG,NL,0.0,55,10,10,0,2,0,0,0,0,0,0,0,4,.200,.200,.200,.400,15,.182,-3,2,0,0,0,0,0,1,,olivefr01
692,Nikco Riesgo,24,MON,NL,0.0,4,10,7,1,1,0,0,0,0,0,0,3,1,.143,.400,.143,.543,61,.303,81,1,1,0,0,0,0,/9H,,riesgni01
693,Mo Sanford,24,CIN,NL,-0.1,5,10,8,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,.000,-201,0,0,0,2,0,0,/1,,sanfomo01
694,Stu Cole,25,KCR,AL,0.1,9,9,7,1,1,0,0,0,0,0,0,2,2,.143,.333,.143,.476,38,.364,121,1,0,0,0,0,0,/4HD6,,colest01
695,Donald Harris,23,TEX,AL,-0.1,18,9,8,4,3,0,0,1,2,1,0,1,3,.375,.444,.750,1.194,228,.542,228,6,0,0,0,0,0,/8H9D7,,harrido01
696,Jamie Moyer*,28,STL,NL,-0.1,8,9,8,0,0,0,0,0,0,0,0,1,4,.000,.111,.000,.111,-66,.079,-82,0,0,0,0,0,0,/1,,moyerja01
697,Matt Sinatro,31,SEA,AL,-0.1,5,9,8,1,2,0,0,0,1,0,0,1,1,.250,.333,.250,.583,65,.282,63,2,0,0,0,0,0,/2H,,sinatma01
698,Phil Stephenson*,30,SDP,NL,,11,9,7,0,2,0,0,0,0,0,0,2,3,.286,.444,.286,.730,108,.360,118,2,0,0,0,0,0,H,,stephph01
699,Mark Clark,23,STL,NL,-0.2,7,8,7,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-173,0,1,0,1,0,0,/1,,clarkma01
700,Gil Heredia,25,SFG,NL,0.2,7,8,7,0,3,0,0,0,0,0,0,1,1,.429,.500,.429,.929,169,.546,259,3,0,0,0,0,0,/1,,heredgi01
701,Scott Lusader*,26,NYY,AL,-0.2,11,8,7,2,1,0,0,0,1,0,1,1,3,.143,.250,.143,.393,12,.139,8,1,0,0,0,0,0,/H87D,,lusadsc01
702,Armando Reynoso,25,ATL,NL,-0.1,6,8,7,0,0,0,0,0,0,0,0,1,5,.000,.125,.000,.125,-62,.088,-80,0,0,0,0,0,0,/1,,reynoar02
703,Ray Stephens,28,STL,NL,-0.1,6,8,7,0,2,0,0,0,0,0,0,1,3,.286,.375,.286,.661,89,.316,89,2,0,0,0,0,0,/2,,stephra01
704,Kelvin Torve*,31,NYM,NL,-0.2,10,8,8,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,1,0,0,0,0,H/3,,torveke01
705,Esteban Beltré,23,CHW,AL,0.0,8,7,6,0,1,0,0,0,0,1,0,1,1,.167,.286,.167,.452,30,.269,31,1,0,0,0,0,0,/6H,,beltres01
706,Marvin Freeman,28,ATL,NL,-0.1,34,7,7,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,1,,freemma02
707,Tom Goodwin*,22,LAD,NL,0.0,16,7,7,3,1,0,0,0,0,1,1,0,0,.143,.143,.143,.286,-18,.096,-42,1,0,0,0,0,0,H/87,,goodwto01
708,Chris Howard,25,SEA,AL,0.2,9,7,6,1,1,1,0,0,0,0,0,1,2,.167,.286,.333,.619,71,.287,66,2,0,0,0,0,0,/2,,howarch01
709,Rodney McCray,27,CHW,AL,0.0,17,7,7,2,2,0,0,0,0,1,1,0,2,.286,.286,.286,.571,61,.223,50,2,0,0,0,0,0,H/D789,,mccraro01
710,Mike Stanton*,24,ATL,NL,0.2,74,7,6,0,3,1,0,0,1,0,0,1,1,.500,.571,.667,1.238,240,.548,250,4,0,0,0,0,0,1,ROY-8,stantmi02
711,Scott Terry,31,STL,NL,0.0,65,7,7,1,1,0,0,0,1,0,0,0,2,.143,.143,.143,.286,-19,.263,51,1,0,0,0,0,0,1,,terrysc01
712,Jim Clancy,35,2TM,NL,-0.1,54,7,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-173,0,0,0,1,0,0,1,,clancji01
713,Jim Clancy,35,HOU,NL,-0.1,30,4,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-206,0,0,0,1,0,0,1,,clancji01
714,Jim Clancy,35,ATL,NL,-0.1,24,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-141,0,0,0,0,0,0,1,,clancji01
715,Vinny Castilla,23,ATL,NL,0.1,12,6,5,1,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,11,.555,287,1,0,0,1,0,0,6,,castivi02
716,Tony Castillo*,28,2TM,NL,-0.1,17,6,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-260,0,0,0,2,0,0,1,,castito02
717,Tony Castillo*,28,ATL,NL,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,castito02
718,Tony Castillo*,28,NYM,NL,-0.1,10,6,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-260,0,0,0,2,0,0,1,,castito02
719,Jeff Fassero*,28,MON,NL,0.0,51,6,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-23,.177,-67,0,0,0,2,0,0,1,,fasseje01
720,Chris Gardner,22,HOU,NL,0.0,5,6,5,0,0,0,0,0,0,0,0,1,1,.000,.167,.000,.167,-47,.118,-48,0,0,0,0,0,0,/1,,gardnch01
721,Mike Harkey,24,CHC,NL,0.1,4,6,5,2,2,0,0,0,0,0,0,1,0,.400,.500,.400,.900,153,.421,162,2,0,0,0,0,0,/1,,harkemi01
722,Terry Lee,29,CIN,NL,-0.1,3,6,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.155,-32,0,0,0,0,0,0,/3H,,leete01
723,Craig Lefferts*,33,SDP,NL,-0.1,54,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-143,0,0,0,0,0,0,1,,leffecr01
724,Rich Rowland,27,DET,AL,0.0,4,6,4,0,1,0,0,0,1,0,0,1,2,.250,.333,.250,.583,63,.272,53,1,0,0,0,1,0,/2HD,,rowlari01
725,Tony Scruggs,25,TEX,AL,-0.2,5,6,6,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-134,0,1,0,0,0,0,/7H8,,scrugto01
726,Tim Burke,32,2TM,NL,-0.1,72,6,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-134,0,0,0,0,0,0,1,,burketi01
727,Tim Burke,32,MON,NL,0.0,37,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,1,,burketi01
728,Tim Burke,32,NYM,NL,-0.1,35,5,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,burketi01
729,Paul Assenmacher*,30,CHC,NL,0.1,75,5,4,1,1,0,0,0,0,0,0,1,1,.250,.400,.250,.650,85,.324,91,1,0,0,0,0,0,1,,assenpa01
730,Juan Berenguer,36,ATL,NL,-0.1,49,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-143,0,0,0,0,0,0,1,,berenju01
731,Scott Bullett*,22,PIT,NL,-0.3,11,5,4,2,0,0,0,0,0,1,1,0,3,.000,.200,.000,.200,-38,.100,-30,0,0,1,0,0,0,/H789,,bullesc01
732,Don Carman*,31,CIN,NL,-0.1,28,5,5,0,0,0,0,0,1,0,0,0,3,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,1,,carmado01
733,Scott Garrelts,29,SFG,NL,-0.1,11,5,4,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-195,0,0,0,1,0,0,/1H,,garresc01
734,Jeff Juden,20,HOU,NL,-0.1,4,5,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,.000,-130,0,0,0,0,0,0,/1,,judenje01
735,Bill Landrum,33,PIT,NL,-0.1,61,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-198,0,0,0,1,0,0,1,,landrbi01
736,Dan Petry,32,ATL,NL,0.0,10,5,5,1,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,11,.182,-13,1,0,0,0,0,0,1,,petryda01
737,Rich Rodriguez*,28,SDP,NL,-0.1,65,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-142,0,0,0,0,0,0,1/H,,rodriri02
738,Mel Rojas,24,MON,NL,-0.1,37,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-198,0,0,0,1,0,0,1,,rojasme01
739,Brian Williams,22,HOU,NL,-0.1,2,5,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-281,0,0,0,2,0,0,/1,,willibr01
740,Mike Hartley,29,2TM,NL,-0.1,58,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,1,0,0,0,0,1,,hartlmi01
741,Mike Hartley,29,LAD,NL,-0.1,40,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-138,0,1,0,0,0,0,1,,hartlmi01
742,Mike Hartley,29,PHI,NL,0.0,18,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,1,,hartlmi01
743,Juan Agosto*,33,STL,NL,0.1,72,4,3,0,1,0,0,0,0,0,0,1,2,.333,.500,.333,.833,140,.405,152,1,0,0,0,0,0,1,,agostju01
744,Jeff Brantley,27,SFG,NL,-0.1,67,4,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-209,0,0,0,1,0,0,1,,brantje01
745,Chad Kreuter#,26,TEX,AL,-0.1,3,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/H2,,kreutch01
746,Bob Patterson,32,PIT,NL,0.0,54,4,4,1,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,42,.228,26,1,0,0,0,0,0,1,,pattebo01
747,Ted Power,36,CIN,NL,0.0,68,4,3,0,0,0,0,0,1,0,0,1,3,.000,.250,.000,.250,-24,.177,-17,0,0,0,0,0,0,1,,powerte01
748,Jeff Richardson,25,PIT,NL,0.0,6,4,4,0,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,42,.228,26,1,0,0,0,0,0,/56H,,richaje01
749,Dave Righetti*,32,SFG,NL,-0.1,61,4,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-209,0,0,0,1,0,0,1,,righeda01
750,Steve Searcy*,27,PHI,NL,-0.1,18,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,1,,searcst01
751,Doug Simons*,24,NYM,NL,-0.1,42,4,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-213,0,0,0,1,0,0,1,,simondo01
752,Greg Smith#,24,LAD,NL,-0.1,5,4,3,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-213,0,0,0,1,0,0,/H4,,smithgr01
753,Darrel Akerfelds,29,PHI,NL,0.0,30,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-134,0,0,0,0,0,0,1,,akerfda01
754,Joe Boever,30,PHI,NL,0.0,68,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,90,.304,81,1,0,0,0,0,0,1,,boevejo01
755,Cris Carpenter,26,STL,NL,0.0,59,3,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,89,.304,81,1,1,0,0,0,0,1,,carpecr01
756,Rob Dibble*,27,CIN,NL,-0.1,67,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-267,0,0,0,1,0,0,1,AS,dibblro01
757,Héctor Fajardo,20,PIT,NL,-0.1,2,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-134,0,1,0,0,0,0,/1,,fajarhe01
758,Steve Frey,27,MON,NL,0.0,31,3,2,0,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,3,.236,34,0,0,0,0,0,0,1,,freyst01
759,Jim Gott,31,LAD,NL,0.1,55,3,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,186,.455,238,1,0,0,1,0,0,1,,gottji01
760,Doug Lindsey,23,PHI,NL,-0.2,1,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,.000,-134,0,0,0,0,0,0,/2,,lindsdo01
761,Ever Magallanes*,25,CLE,AL,0.0,3,3,2,0,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,1,.239,32,0,0,0,0,0,0,/6H,,magalev01
762,Tim Mauser,24,PHI,NL,0.0,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-134,0,0,0,0,0,0,/1,,mauseti01
763,Paul Miller,26,PIT,NL,0.0,1,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-134,0,0,0,0,0,0,/1,,millepa01
764,Gino Minutelli*,27,CIN,NL,-0.1,16,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-141,0,0,0,0,0,0,1/H,,minutgi01
765,Al Osuna,25,HOU,NL,0.1,71,3,2,1,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,.465,257,0,0,0,1,0,0,1,,osunaal01
766,Wally Ritchie*,25,PHI,NL,0.0,39,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-134,0,0,0,0,0,0,1,,ritchwa01
767,Scott Ruskin,28,MON,NL,0.0,64,3,2,1,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,3,.236,34,0,0,0,0,0,0,1,,ruskisc01
768,Curt Schilling,24,HOU,NL,0.1,56,3,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,95,.304,88,1,0,0,0,0,0,1,,schilcu01
769,Jeff Schulz*,30,PIT,NL,,3,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-134,0,0,0,0,0,0,/H,,schulje01
770,Larry Andersen,38,SDP,NL,0.0,38,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-143,0,0,0,0,0,0,1,,anderla02
771,Rod Beck,22,SFG,NL,0.1,31,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,188,.455,195,1,0,0,0,0,0,1,,beckro01
772,Dennis Cook*,28,LAD,NL,0.0,20,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-355,0,0,0,1,0,0,1,,cookde01
773,John Costello,30,SDP,NL,0.0,27,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-364,0,0,0,1,0,0,1,,costejo01
774,Tim Crews,30,LAD,NL,0.0,60,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,55,.354,119,0,0,0,0,0,0,1,,crewsti01
775,Mark Davis,26,CAL,AL,-0.2,3,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-130,0,0,0,0,0,0,/9,,davisma02
776,Willie Fraser,27,STL,NL,0.0,35,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,1,,frasewi01
777,Wes Gardner,30,SDP,NL,0.0,14,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-143,0,0,0,0,0,0,1,,gardnwe01
778,Jeremy Hernandez,24,SDP,NL,0.0,9,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-143,0,0,0,0,0,0,/1,,hernaje02
779,Jeff Innis,28,NYM,NL,0.0,69,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,1,,innisje01
780,Barry Jones,28,MON,NL,0.0,77,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-355,0,0,0,1,0,0,1,,jonesba01
781,Bob Kipper,26,PIT,NL,0.0,52,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-355,0,0,0,1,0,0,1,,kippebo01
782,Randy Knorr,22,TOR,AL,0.0,3,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,50,.359,113,0,0,0,0,0,0,/2H,,knorrra01
783,Dave LaPoint*,31,PHI,NL,0.0,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,/1,,lapoida01
784,Jim Lewis,26,SDP,NL,0.0,12,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-143,0,0,0,0,0,0,1,,lewisji02
785,Derek Lilliquist*,25,SDP,NL,0.0,6,2,2,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,-100,.000,-143,0,0,0,0,0,0,/1,,lillide01
786,Roger Mason,33,PIT,NL,0.1,24,2,0,1,0,0,0,0,0,0,0,1,0,,1.000,,,,.707,627,0,0,0,1,0,0,1,,masonro01
787,Roger McDowell,30,2TM,NL,0.0,72,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,1/7,,mcdowro01
788,Roger McDowell,30,PHI,NL,0.0,38,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,1,,mcdowro01
789,Roger McDowell,30,LAD,NL,0.0,34,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1/7,,mcdowro01
790,Rick Reed,26,PIT,NL,0.1,1,2,2,0,1,1,0,0,2,0,0,0,0,.500,.500,1.000,1.500,314,.652,333,2,0,0,0,0,0,/1,,reedri01
791,Rick Reuschel,42,SFG,NL,0.0,4,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-138,0,0,0,0,0,0,/1,,reuscri01
792,Randy St. Claire,30,ATL,NL,0.1,19,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,176,.455,186,1,0,0,0,0,0,1,,st.clra01
793,Mitch Williams*,26,PHI,NL,0.0,69,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,54,.354,119,0,0,0,0,0,0,1,CYA-6,willimi02
794,Steve Wilson*,26,2TM,NL,0.0,20,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-132,0,0,0,0,0,0,1/H,,wilsost01
795,Steve Wilson*,26,CHC,NL,0.0,9,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/1H,,wilsost01
796,Steve Wilson*,26,LAD,NL,0.0,11,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,1,,wilsost01
797,Jeff Banister,27,PIT,NL,,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,469,.911,500,1,0,0,0,0,0,/H,,banisje01
798,Nick Capra,33,TEX,AL,0.1,2,1,0,1,0,0,0,0,0,0,0,1,0,,1.000,,,,.718,382,0,0,0,0,0,0,/78H,,caprani01
799,Amalio Carreño,27,PHI,NL,0.0,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/1,,carream01
800,Pat Clements,29,SDP,NL,0.0,12,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,clemepa01
801,Jim Corsi,29,HOU,NL,0.0,47,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-118,0,0,0,0,0,0,1,,corsiji01
802,Butch Davis,33,LAD,NL,,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,/H,,davisbu02
803,John Franco*,30,NYM,NL,0.0,52,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,1,,francjo01
804,Bill Gullickson,32,DET,AL,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,1,CYA-8,gullibi01
805,Atlee Hammaker#,33,SDP,NL,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/1,,hammaat01
806,Dwayne Henry,29,HOU,NL,0.0,52,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-118,0,0,0,0,0,0,1,,henrydw01
807,Milt Hill,25,CIN,NL,0.0,22,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,hillmi01
808,Mike Jeffcoat*,31,TEX,AL,0.1,2,1,1,1,1,1,0,0,1,0,0,0,0,1.000,1.000,2.000,3.000,718,1.288,791,2,0,0,0,0,0,1,,jeffcmi01
809,Tim Layana,27,CIN,NL,0.0,23,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1/H,,layanti01
810,Rob Mallicoat*,26,HOU,NL,0.0,24,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-118,0,0,0,0,0,0,1,,malliro01
811,Bob McClure,39,STL,NL,0.1,32,1,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,467,.911,500,1,0,0,0,0,0,1,,mcclubo01
812,Mark Parent,29,TEX,AL,0.0,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-145,0,0,0,0,0,0,/2,,parenma01
813,Jeff Parrett,29,ATL,NL,0.1,18,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,.707,355,0,0,0,0,0,0,1,,parreje01
814,Alejandro Peña,32,2TM,NL,0.0,59,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,penaal01
815,Alejandro Peña,32,NYM,NL,0.0,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,penaal01
816,Alejandro Peña,32,ATL,NL,0.0,15,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,penaal01
817,Doug Piatt*,25,MON,NL,0.0,21,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,1,,piattdo01
818,Laddie Renfroe#,29,CHC,NL,0.0,4,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/1,,renfrla01
819,Rosario Rodríguez,21,PIT,NL,0.0,18,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-127,0,0,0,0,0,0,1,,rodriro02
820,Steve Rosenberg*,26,SDP,NL,0.0,10,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,rosenst01
821,Rico Rossy,27,ATL,NL,0.0,5,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,/H6,,rossyri01
822,Mike Scott,36,HOU,NL,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-118,0,0,0,0,0,0,/1,,scottmi03
823,Heathcliff Slocumb,25,CHC,NL,0.0,52,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,slocuhe01
824,Dave Smith,36,CHC,NL,0.0,35,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-136,0,0,0,0,0,0,1,,smithda02
