Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
436,Chris Donnels*,25,NYM,NL,0.0,37,104,89,7,20,2,0,0,5,1,1,14,19,.225,.330,.247,.577,66,.283,68,22,0,0,1,0,1,3H5,,donnech01
437,Jim Thome*,20,CLE,AL,-0.1,27,104,98,7,25,4,2,1,9,1,1,5,16,.255,.298,.367,.665,83,.303,78,36,4,1,0,0,1,5,,thomeji01
438,Francisco Cabrera,24,ATL,NL,-0.2,44,102,95,7,23,6,0,4,23,1,1,6,20,.242,.284,.432,.716,94,.326,92,41,5,0,0,1,0,H23,,cabrefr01
439,Nelson Santovenia,29,MON,NL,-0.4,41,102,96,7,24,5,0,2,14,0,0,2,18,.250,.255,.365,.619,74,.263,51,35,4,0,0,4,2,2H/3,,santone01
440,Greg Maddux,25,CHC,NL,0.5,39,101,88,8,18,2,0,1,7,1,0,2,24,.205,.222,.261,.484,34,.244,23,23,1,0,11,0,0,1/H,GG,maddugr01
441,Rich Gedman*,31,STL,NL,-1.1,46,100,94,7,10,1,0,3,8,0,1,4,15,.106,.140,.213,.353,-2,.165,-16,20,2,0,0,2,0,2/H,,gedmari01
442,Ken Griffey*,41,SEA,AL,0.3,30,100,85,10,24,7,0,1,9,0,0,13,13,.282,.380,.400,.780,117,.358,116,34,2,1,0,1,0,7/HD,,griffke01
443,Jeff Hamilton,27,LAD,NL,-0.1,41,99,94,4,21,4,0,1,14,0,0,4,21,.223,.255,.298,.553,57,.291,73,28,2,0,1,0,0,5H/6,,hamilje01
444,Ced Landrum*,27,CHC,NL,0.2,56,99,86,28,20,2,1,0,6,27,5,10,18,.233,.313,.279,.592,66,.338,65,24,2,0,3,0,0,H78/9,,landrce01
445,Javier Ortiz,28,HOU,NL,0.3,47,97,83,7,23,4,1,1,5,0,0,14,14,.277,.381,.386,.767,124,.355,125,32,3,0,0,0,0,H79,,ortizja01
446,Junior Noboa,26,MON,NL,-0.6,67,96,95,5,23,3,0,1,2,2,3,1,8,.242,.250,.305,.555,57,.265,61,29,1,0,0,0,1,H/495637,,noboaju01
447,Gary Scott,22,CHC,NL,-0.5,31,96,79,8,13,3,0,1,5,0,1,13,14,.165,.305,.241,.546,54,.256,43,19,2,3,1,0,4,5,,scottga01
448,Tom Glavine*,25,ATL,NL,0.7,36,95,74,1,17,1,0,0,6,1,0,6,19,.230,.288,.243,.531,48,.290,55,18,1,0,15,0,0,1/H,ASCYA-1MVP-11SS,glavito02
449,Craig Shipley,28,SDP,NL,-0.1,37,95,91,6,25,3,0,1,6,0,1,2,14,.275,.298,.341,.639,78,.296,75,31,1,1,1,0,0,64/H,,shiplcr01
450,Cecil Espy#,28,PIT,NL,0.1,43,92,82,7,20,4,0,1,11,4,0,5,17,.244,.281,.329,.610,72,.288,60,27,0,0,3,2,0,8H9/7,,espyce01
451,Chris Jones,25,CIN,NL,0.1,52,92,89,14,26,1,2,2,6,2,1,2,31,.292,.304,.416,.720,98,.331,96,37,2,0,0,1,0,H7/98,,jonesch05
452,Jim Leyritz,27,NYY,AL,-0.5,32,91,77,8,14,3,0,0,4,0,1,13,15,.182,.300,.221,.521,47,.263,53,17,0,0,1,0,0,5H/23D,,leyriji01
453,Andy Mota,25,HOU,NL,-0.5,27,91,90,4,17,2,0,1,6,2,0,1,17,.189,.198,.244,.442,28,.206,14,22,0,0,0,0,0,4/H,,motaan01
454,Craig Wilson,26,STL,NL,-0.7,60,90,82,5,14,2,0,0,13,0,0,6,10,.171,.222,.195,.417,19,.218,17,16,2,0,0,2,2,H5/734,,wilsocr01
455,Doug Drabek,28,PIT,NL,-0.1,36,89,84,6,15,1,0,0,2,0,0,1,28,.179,.188,.190,.379,8,.174,-18,16,0,0,4,0,0,1/H,,drabedo01
456,Luis Lopez,26,CLE,AL,-0.2,35,89,82,7,18,4,1,0,7,0,0,4,7,.220,.261,.293,.554,53,.269,52,24,0,1,1,1,1,H23/D57,,lopezlu01
457,Zane Smith*,30,PIT,NL,0.4,36,89,71,3,13,3,0,0,10,0,0,3,8,.183,.224,.225,.449,28,.209,-2,16,0,1,13,1,0,1/H,,smithza01
458,Steve Avery*,21,ATL,NL,0.5,37,88,79,4,17,1,1,0,2,1,0,4,31,.215,.253,.253,.506,40,.260,37,20,1,0,5,0,0,1/H,CYA-6,averyst01
459,Tim Spehr,24,KCR,AL,0.7,37,88,74,7,14,5,0,3,14,1,0,9,18,.189,.282,.378,.661,82,.313,82,28,2,1,3,1,0,2/H,,spehrti01
460,Mike Morgan,31,LAD,NL,-0.4,34,87,76,2,7,0,0,0,3,0,0,1,11,.092,.101,.092,.193,-45,.113,-70,7,1,0,8,2,0,1,AS,morgami01
461,Terry Mulholland,28,PHI,NL,-0.5,35,87,80,3,7,0,0,0,0,1,0,1,32,.088,.110,.088,.197,-43,.110,-70,7,2,1,5,0,0,1/H,,mulhote01
462,Ramón Martínez*,23,LAD,NL,-0.1,33,86,77,6,9,1,0,1,9,0,0,1,25,.117,.128,.169,.297,-16,.147,-44,13,1,0,8,0,0,1,,martira02
463,Charlie Leibrandt,34,ATL,NL,-0.7,36,85,70,1,3,2,1,0,2,0,0,3,18,.043,.082,.100,.182,-50,.088,-111,7,1,0,12,0,0,1,,leibrch01
464,David Cone*,28,NYM,NL,-0.1,34,84,72,3,9,0,0,0,5,0,0,3,14,.125,.179,.125,.304,-12,.163,-29,9,3,2,6,1,0,1,,coneda01
465,Bo Jackson,28,CHW,AL,0.1,23,84,71,8,16,4,0,3,14,0,1,12,25,.225,.333,.408,.742,107,.348,116,29,3,0,0,1,1,D/H,,jacksbo01
466,Ken Oberkfell*,35,HOU,NL,0.2,53,84,70,7,16,4,0,0,14,0,0,14,8,.229,.357,.286,.643,90,.302,86,20,0,0,0,0,4,H3/5,,oberkke01
467,John Orton,25,CAL,AL,0.2,29,84,69,7,14,4,0,0,3,0,1,10,17,.203,.313,.261,.573,62,.294,76,18,2,1,4,0,0,2/DH,,ortonjo01
468,Tom Browning*,31,CIN,NL,0.3,36,83,70,3,12,3,0,1,5,0,1,3,19,.171,.205,.257,.463,28,.231,19,18,0,0,10,0,0,1,AS,brownto05
