,matchId,gameDurationSeconds,championBlueTop,championBlueJG,championBlueMid,championBlueBot,championBlueSup,championRedTop,championRedJG,championRedMid,championRedBot,championRedSup,goldDifference,blueGrubCount,redGrubCount,blueDragonCount,redDragonCount,blueBaronCount,redBaronCount,blueAtakhan,redAtakhan,winner
0,NA1_5231550958,947,6,113,517,145,111,114,233,157,51,60,5014,6,0,0,1,0,0,0,0,0
0,NA1_5231537888,1597,266,245,112,360,526,122,200,7,221,99,-457,0,6,1,2,0,0,0,1,0
0,NA1_5242490506,1716,799,143,99,202,53,85,163,238,222,117,1364,3,3,1,3,0,1,0,1,1
0,NA1_5238129847,922,82,887,50,42,526,23,163,112,81,40,-14343,0,6,0,1,0,0,0,0,1
0,NA1_5238063162,2108,92,163,127,21,35,41,245,157,222,117,-617,3,3,2,2,1,1,1,0,0
0,NA1_5235649365,1144,799,5,127,222,99,24,121,268,67,350,5843,4,2,1,1,0,0,0,0,0
0,NA1_5235586384,1742,897,5,127,96,902,266,887,99,523,117,1120,6,0,1,3,1,0,1,0,0
0,NA1_5235558144,1654,86,5,127,895,7,799,121,103,202,89,-482,3,3,1,3,1,0,1,0,0
0,NA1_5235526571,1981,420,5,127,202,43,86,76,136,523,12,2787,6,0,4,1,0,1,1,0,0
0,NA1_5234516256,1897,27,141,7,18,117,68,5,800,236,267,-2395,1,5,3,2,0,1,0,1,0
0,NA1_5234500535,1397,23,104,112,800,412,86,5,127,22,147,-6024,6,0,0,3,0,0,0,1,1
0,NA1_5234493132,1641,126,234,13,119,555,2,5,268,18,3,5646,6,0,4,0,0,0,0,1,0
0,NA1_5234483285,1684,79,80,517,202,78,2,5,127,99,526,-1618,3,3,1,3,0,1,0,1,1
0,NA1_5233853982,2115,41,5,127,910,161,86,203,112,145,117,1143,3,3,2,3,0,2,0,1,1
0,NA1_5232073176,1361,266,9,166,119,555,36,254,105,110,78,-1649,0,6,1,2,0,0,0,1,1
0,NA1_5232049234,910,75,799,163,81,267,420,77,268,119,37,-7567,1,5,0,2,0,0,0,0,1
0,NA1_5228393925,2005,98,107,115,110,235,57,141,711,42,60,158,3,3,2,3,1,0,1,0,0
0,NA1_5228370108,1217,75,200,127,30,12,24,234,20,202,555,-4444,0,6,0,3,0,0,0,0,1
0,NA1_5221314491,1159,31,200,127,81,497,240,64,103,18,235,2767,3,3,1,1,0,0,0,0,0
0,NA1_5221288668,1117,133,421,112,147,235,154,200,101,901,40,-3791,3,3,0,2,0,0,0,0,1
0,NA1_5221241394,1425,126,421,127,222,800,122,427,157,29,117,2133,5,1,1,1,0,0,1,0,0
0,NA1_5221221356,917,777,200,101,81,800,54,30,799,67,16,6438,3,3,2,0,0,0,0,0,0
0,NA1_5221204035,975,58,25,238,429,60,893,200,80,147,117,2585,3,3,1,0,0,0,0,0,0
0,NA1_5221165072,2228,799,234,112,429,888,122,200,910,222,43,2656,2,4,4,1,0,1,0,1,1
0,NA1_5221147743,922,78,131,157,15,53,897,200,517,222,99,-5169,0,6,0,1,0,0,0,0,1
